trader,total_volume,total_score,top_percentile,trade_count,wallet_rank,label
0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,16560745.930307006,168608.0034525785,17.09668867663859,90751,29145,
0xbacd00c9080a82ded56f504ee8810af732b0ab35,10549008.735427,33518.139872993386,106.35559183767693,3726,365,
0x35bbbad2415fe5e39b12da9a316cdc80b022009b,7733954.248210001,25992.29185933069,101.5331185217602,2124,653,
0x7744bfd749a70020d16a1fcbac1d064761c9999e,5856399.681518999,11450.542721280943,103.26652993317404,692,510,
0x35417b3d09d7a0991f75d7cc95162a6e34d7462e,5831474.145359999,15730.651236729362,98.43874245847495,1816,902,
0x2785e7022dc20757108204b13c08cea8613b70ae,4759818.16701,1700.150817474246,102.35203864173006,29,571,
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,4690121.154153999,21861.248389069213,108.5741890564478,1583,302,
0xbaa2bcb5439e985ce4ccf815b4700027d1b92c73,4356844.787039001,12146.196425540234,95.40174427912295,1440,966,
0xa3ad70cf48a2f2b44163e798223c01a2c2536866,4232190.478871996,43686.72813949354,25.601177307819142,16419,23812,
0x7c3db723f1d4d8cb9c550095203b686cb11e5c6b,4121879.101704,16968.499171896263,55.17664803861798,2916,3558,
0xc6dd722558dbfbd8fa780efcbe819ed8c6604b9f,3637400.6887000003,10897.799036969242,92.80125813613346,1332,1028,
0xfcf2378f20cf408d077c21e731272f21cccea469,3514135.1179949977,11613.661952638447,49.75719562139879,5061,5854,
0x63d43bbb87f85af03b8f2f9e2fad7b54334fa2f1,3405098.004284001,31060.578271055663,24.988216448565822,13753,27598,
0x1584cb3b5a84944bd0db072c43d67189397071b6,3357510.2030699993,31867.14826510698,46.78334740182708,4131,6338,
0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,3267931.6546600005,7672.9137811859055,103.38893035890098,254,501,
0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,3194066.46806,9562.55908924696,103.80876707856058,574,480,
0xfc2f4f50ce2f6045d35558a5e2d8d4b2ac6610c7,3100463.472648,9854.82321003,54.74059298758778,2060,3626,
0xe7387473b067235436884d16799777cf279edf65,3065183.2263820013,17300.39521672282,74.85036110370376,2382,1994,
0x05ab749a8554fb7c852238c271d384bae6798145,3027873.1703659995,6631.090480515868,22.15809443973659,2968,28062,
0x511653479dbf3a4557d8a2359595d429b90dc5b8,2922561.7927400004,300,100,3,862,
0x000d257d2dc7616feaef4ae0f14600fdf50a758e,2910409.9239189997,10317.980769247055,101.92924926462642,407,614,
0xd218e474776403a330142299f7796e8ba32eb5c9,2876394.8619800005,36115.29776428431,37.36832194993179,14985,8852,
0xdbade4c82fb72780a0db9a38f821d8671aba9c95,2828919.6447030003,3811.21952067363,106.90003225122811,182,352,
0xb10047d6a254b2ebb306d7a7d13bf59171ab6461,2800834.2301700003,12000.320661582089,50.934092102858216,2556,4868,
0x5a218c7ad04135830a45c41aaed7294df7809318,2735637.2442469974,26657.270494085344,8.563089052028094,20762,33038,
0xc6587b11a2209e46dfe3928b31c5514a8e33b784,2641075.4612630005,4950.127848394728,103.16876845292538,217,514,
0x53e55bc7cb3d67ad177c023ce891ad076a9d6177,2600406.370253,4909.667620902451,103.04617805297521,225,519,
0x7b02b2bac2a30ed5e40b7094e734f4c3dc2a4991,2432428.6467370004,3450.4051812945277,102.42944720197991,245,565,
0x9efda3d6354152901fc4706c3b1a9ce50b45ad00,2354252.7319119996,5914.294357206696,105.70747059616315,236,394,
0xa8b202e6e9a4c2091b6860f1f5c9e9119bbc9a39,2318042.61105,1766.728537588474,122.15732690251191,36,155,
0xc97b0b2a2547bb3ed57167092ef8a6e816c347e5,2314043.796819001,25226.1282624068,51.153430575944036,7182,4733,
0x95074f700f93bdf6e62fc965e0832064c0877b04,2250844.18035,12193.760398320474,103.7826458235893,1118,483,
0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,2232767.1841900004,9984.307009986103,76.17136939269307,1566,1777,
0xde7be6d489bce070a959e0cb813128ae659b5f4b,2223417.7433829997,5201.206197497799,103.88109857610569,412,475,
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,2221360.51174,7777.915414675877,102.67066695522944,568,548,
0x448861155279dbf833d041b963e3ac854599e319,2216971.44709,6192.493385830222,102.79977894505377,460,537,
0x96489abcb9f583d6835c8ef95ffc923d05a86825,2157011.6036389996,5621.487371284067,103.27732302380016,308,508,
0xadc2efbf97ce7b25f7a638aabdba196c657cd1c9,2135535.5683799996,1125.0914474529482,101.28836507748994,17,683,
0x614dc8d3542c12103d2c6a3553fd761e391d1546,2133432.318714,6449.543982522298,75.06590141210393,602,1976,
0x090a0d3fc9d68d3e16db70e3460e3e4b510801b4,2111503.879734,3055.316372469726,105.97393351932698,230,385,
